,hair_slide,carousel,wok,photocopier,jellyfish,organ,arctic_fox,chime,tobacco_shop,slot,spider_web,cocktail_shaker,upright,ear,unicycle,boxer,consomme,robin,rock_beauty,stage,house_finch,three-toed_sloth,tile_roof,french_bulldog,harvestman,green_mamba,dishrag,newfoundland,triceratops,barrel,file,miniature_poodle,clog,tank,saluki,hotdog,yawl,walker_hound,lipstick,prayer_rug,worm_fence,fire_screen,frying_pan,reel,ladybug,oboe,cliff,beer_bottle,holster,gordon_setter,pencil_box,ashcan,dugong,komondor,orange,bolete,aircraft_carrier,dome,tibetan_mastiff,parallel_bars,solar_dish,toucan,snorkel,street_sign,goose,rhinoceros_beetle,catamaran,combination_lock,ipod,missile,poncho,horizontal_bar,miniskirt,meerkat,ibizan_hound,garbage_truck,white_wolf,carton,coral_reef,cannon,hourglass,crate,cuirass,theater_curtain,malamute,trifle,african_hunting_dog,mixing_bowl,black-footed_ferret,nematode,golden_retriever,lion,bookshop,electric_guitar,scoreboard,ant,vase,dalmatian,school_bus,king_crab
0,0.063842773,-0.333496094,-0.115356445,0.011222839,-0.176879883,-0.239257813,0.004753113,-0.320068359,0.10534668,-0.397460938,-0.336914063,0.094604492,-0.296142578,-0.532714844,-0.348876953,0.137817383,-0.23425293,0.030288696,0.025466919,0.056976318,-0.248291016,0.649414063,0.051574707,-0.240844727,-0.145874023,0.053070068,-0.041900635,-0.398925781,-0.292480469,-0.049316406,-0.19519043,-0.028656006,-0.461669922,-0.038726807,0.602050781,0.024810791,-0.007553101,0.383544922,-0.270751953,-0.053009033,-0.047302246,-0.459960938,-0.380859375,-0.162597656,-0.004348755,0.547363281,0.057403564,-0.546386719,-0.432373047,0.28125,0.179443359,-0.351806641,-0.170166016,-0.213378906,0.005599976,0.191650391,-0.360351563,0.221679688,-0.094360352,-0.242431641,-0.263916016,0.099609375,-0.126953125,-0.116760254,-0.079833984,0.019561768,-0.176635742,-0.279296875,-0.053283691,-0.115783691,-0.247192383,-0.1875,-0.206298828,0.183105469,-0.150634766,-0.168579102,-0.144042969,-0.401367188,-0.200195313,-0.339599609,-0.460449219,-0.183349609,-0.51953125,-0.418945313,-0.42578125,0.077514648,-0.428222656,-0.557617188,0.257324219,0.220336914,-0.277587891,-0.06829834,-0.129516602,-0.595703125,0.172851563,0.268798828,-0.499511719,-0.055023193,0.078063965,0.232910156
1,0.192382813,0.071655273,-0.111816406,0.013870239,0.250244141,0.182861328,-0.218017578,-0.306396484,0.080688477,-0.357177734,0.224853516,-0.258789063,-0.643066406,0.010894775,-0.413085938,-1.52588E-05,0.176269531,0.025268555,0.051147461,0.108886719,0.118835449,-0.205200195,-0.667480469,0.392578125,-0.07989502,0.135620117,-0.244384766,0.262695313,0.274414063,-0.335449219,-0.085632324,-0.146728516,0.036315918,0.316162109,-0.127563477,-0.061035156,-0.474365234,0.310302734,-0.086242676,-0.393310547,-0.018356323,-0.418457031,-0.098266602,0.140380859,0.456054688,-0.405273438,-0.111022949,-0.228515625,-0.251464844,0.443847656,0.17956543,-0.874023438,0.196044922,-0.305175781,-0.035064697,0.173339844,-0.054290771,-0.020721436,0.640625,-0.717773438,-0.394775391,0.219482422,-0.330566406,-0.257080078,-0.060180664,0.586914063,-0.243774414,0.066101074,-0.11907959,0.029449463,-0.227050781,-0.363769531,-0.140625,-0.023010254,-0.171630859,0.279052734,-0.266113281,0.069763184,0.046356201,0.082458496,0.033691406,-0.167358398,-0.525390625,-0.273925781,-0.319335938,0.065917969,-0.17199707,-0.030670166,-0.105102539,0.161010742,0.114013672,0.202026367,0.198364258,-0.245605469,0.0440979,0.012313843,-0.473144531,0.105407715,0.16796875,0.280517578
2,-0.526855469,-0.067382813,-0.45703125,-0.512695313,-0.969726563,-0.602539063,-0.60546875,-0.268310547,0.082275391,-0.338867188,-0.521484375,-0.561523438,-0.348876953,-0.152587891,-0.094238281,0.003196716,-0.830078125,-0.031524658,-0.288085938,-0.279296875,-0.157470703,-0.431640625,0.07434082,-0.395996094,-0.211425781,-0.388183594,-0.63671875,-0.237060547,-0.54296875,-0.354492188,-0.322753906,-0.020584106,-0.271972656,-0.388427734,-0.203369141,-0.447753906,-0.400390625,0.03704834,-0.323242188,0.067382813,-0.329101563,-0.213500977,-0.425292969,-0.361328125,-0.129882813,-0.662109375,-0.00214386,-0.736328125,-0.208496094,-0.002113342,-0.324951172,-0.563476563,-0.913085938,-0.16027832,-0.052734375,-0.275146484,-0.35546875,-0.40234375,0.121826172,-0.033935547,-0.412597656,-0.298828125,-0.83203125,-0.33984375,-0.51171875,-0.576171875,-0.633789063,-0.372070313,-0.104736328,-0.428222656,-0.539550781,-0.053253174,-0.176025391,-0.318359375,-0.329589844,-0.470703125,-0.455566406,-0.293457031,-0.223144531,-0.332519531,-0.409423828,-0.107299805,-0.451660156,-0.215942383,-0.553710938,-0.112243652,-0.204956055,-0.424316406,-0.151367188,-0.944824219,-0.017181396,-0.319335938,-0.048095703,-0.158691406,-0.306152344,-0.471679688,-0.627441406,-0.391357422,-0.007286072,-0.745117188
3,0.396484375,0.084838867,0.129638672,-0.241210938,-0.12512207,0.055755615,0.486083984,0.588378906,0.059173584,0.435058594,0.3203125,0.134277344,0.058532715,0.125488281,0.142822266,0.020782471,0.412353516,0.7265625,0.100585938,-0.130249023,0.195800781,-0.231933594,-0.238525391,0.436035156,0.611328125,0.470703125,0.373046875,0.356445313,-0.7890625,-0.251953125,0.066772461,0.353759766,-0.011795044,-0.025146484,0.071838379,0.213134766,0.301025391,-0.572265625,0.411132813,-0.036895752,0.099609375,0.215698242,0.436035156,0.224609375,0.509277344,0.455078125,0.046020508,0.013893127,0.319824219,0.037536621,0.321533203,0.184326172,-0.339111328,-0.173339844,0.3046875,0.280517578,0.175537109,0.112792969,-0.219726563,0.023117065,0.225585938,0.252197266,0.265869141,0.233886719,0.326904297,-0.141967773,0.083251953,-0.478515625,0.339111328,0.385742188,0.529296875,0.090087891,0.220336914,-0.011497498,-0.207519531,-0.041046143,0.290527344,-0.133300781,-0.167236328,0.188232422,0.116271973,-0.349609375,0.023040771,0.060180664,0.301757813,0.38671875,0.175048828,-0.179321289,-0.034790039,-0.116516113,-0.199707031,-0.214111328,-0.057495117,0.190917969,0.205078125,-0.061889648,-0.130737305,0.253173828,0.097717285,0.186035156
4,0.114868164,0.112365723,-0.299316406,-0.328613281,-0.039306641,-0.100830078,-0.083984375,0.008666992,-0.294433594,-0.219482422,-0.089904785,-0.185791016,0.107666016,0.540039063,-0.393310547,-0.18347168,-0.244140625,0.563964844,0.019165039,0.029174805,-0.038024902,-0.061279297,-0.492431641,-0.081115723,-0.172851563,-0.172241211,-0.272949219,-0.349121094,-0.505859375,-0.284667969,0.227050781,-0.143798828,0.299072266,-0.483398438,-0.262695313,-0.019607544,-0.317871094,-0.663085938,-0.190551758,-0.41015625,0.079528809,-0.012695313,-0.138061523,0.246337891,-0.355224609,0.129760742,-0.265625,0.214599609,-0.039703369,-0.179321289,-0.54296875,-0.254638672,-0.412597656,-0.021850586,0.141479492,-0.287597656,-0.293945313,-0.349853516,-0.265869141,0.264892578,-0.131713867,-0.205078125,-0.024993896,-0.098083496,0.180419922,-0.415527344,-0.114685059,-0.067749023,0.114501953,0.02645874,0.152954102,-0.047637939,0.120117188,-0.460693359,-0.177612305,-0.439453125,-0.196166992,0.148681641,0.027801514,-0.297119141,0.362304688,0.149414063,0.333007813,-0.195800781,-0.4609375,0.291503906,-0.262207031,-0.6328125,-0.599609375,0.060119629,-0.446777344,-0.122924805,-0.018341064,-0.282470703,-0.149047852,-0.299072266,-0.377441406,-0.221923828,0.032867432,-0.030151367
5,-0.235351563,-0.186767578,-0.171875,0.124145508,-0.473632813,-0.166381836,0.139892578,-0.451660156,0.231689453,0.361328125,0.223510742,-0.481933594,0.258789063,-0.259521484,-0.130249023,0.227539063,-0.415527344,-0.415039063,-0.235595703,0.321777344,0.096679688,0.264160156,-0.240112305,0.081665039,0.021774292,0.150390625,0.086975098,0.296630859,-0.209594727,-0.701660156,-0.012496948,0.089050293,0.063476563,0.216552734,-0.208862305,-0.522949219,0.454589844,0.229980469,-0.189941406,-0.265136719,-0.44140625,-0.290039063,-0.452636719,-0.347412109,0.015655518,-0.136962891,0.399902344,-0.723144531,-0.153686523,-0.137207031,0.275390625,-0.351074219,-0.052490234,0.448242188,-0.342529297,-0.135986328,0.402832031,-0.4453125,-0.034240723,0.250976563,-0.028610229,-0.139892578,-0.110839844,0.126464844,0.082397461,-0.438964844,0.563964844,-0.112792969,0.144165039,-0.291015625,-0.371582031,0.049804688,-0.07421875,0.032043457,0.03515625,0.376708984,0.672363281,0.541015625,0.005233765,0.333740234,-0.595703125,0.215820313,-0.081604004,0.321044922,0.277832031,-0.017211914,-0.514160156,0.014709473,-0.358154297,-0.395996094,-0.512695313,0.083251953,-0.08605957,-0.231933594,0.372558594,0.133300781,-0.436035156,0.097229004,0.112854004,-0.249145508
6,-0.229492188,0.297607422,-0.485839844,-0.443115234,-0.170166016,-0.400878906,0.446533203,-0.16796875,0.216308594,-0.061706543,0.145141602,-0.208496094,-0.4765625,0.103637695,-0.250244141,0.245483398,-0.416503906,0.452880859,-0.064941406,0.153076172,0.361816406,0.526855469,0.022201538,0.324707031,0.102416992,0.010101318,0.196411133,0.153442383,-0.100585938,-0.368164063,-0.374267578,-0.004638672,-0.339111328,-0.122924805,0.1953125,0.090576172,-0.34375,0.076171875,0.420898438,-0.05291748,-0.091552734,-0.244873047,-0.441894531,-0.073547363,0.212402344,0.011688232,0.375976563,-0.328613281,-0.091796875,-0.145385742,0.315673828,0.063293457,-0.054016113,0.094360352,-0.219238281,0.412109375,-0.251464844,0.122741699,0.080688477,-0.041748047,0.001075745,-0.004455566,-0.294433594,-0.064208984,0.13684082,-0.329589844,-0.002227783,-0.139892578,-0.100891113,-0.497558594,0.135498047,0.169799805,0.04498291,-0.003082275,-0.029663086,-0.141967773,0.522949219,-0.314941406,-0.00881958,-0.11315918,-0.021820068,0.104553223,-0.107971191,-0.175415039,-0.135253906,-0.483886719,0.189941406,-0.401367188,0.225708008,-0.439941406,-0.054351807,0.454833984,0.17956543,-0.272949219,0.295166016,0.139770508,-0.367431641,-0.104003906,0.614257813,-0.203735352
7,0.422851563,0.022857666,0.130859375,-0.140869141,-0.12109375,0.065185547,-0.054626465,0.100646973,-0.197021484,-0.244384766,0.277832031,0.433105469,-0.088134766,-0.036071777,-0.39453125,-0.125854492,0.567871094,0.198852539,-0.484619141,-0.049499512,-0.038238525,-0.06060791,-0.248901367,-0.305664063,0.237060547,-0.141113281,0.033905029,0.680664063,0.165039063,0.157470703,0.074401855,0.094848633,-0.834960938,-0.229858398,-0.192993164,-0.5234375,0.385253906,0.252929688,0.170654297,-0.29296875,-0.383789063,-0.084106445,0.053222656,0.077514648,-0.454101563,-0.002075195,-0.215576172,-0.247680664,0.289550781,0.440917969,-0.129882813,0.256103516,-0.308105469,0.117797852,0.108886719,0.259765625,0.425048828,-0.092590332,0.296630859,-0.16003418,0.05758667,-0.103637695,-0.406738281,-0.071777344,0.242675781,-0.534179688,0.458740234,0.620605469,0.151245117,0.147460938,-0.306640625,0.083618164,-0.155273438,-0.163330078,-0.028091431,0.137695313,-0.066711426,-0.093994141,-0.309814453,0.125244141,0.459472656,0.395019531,-0.163696289,0.310546875,-0.138671875,0.099609375,-0.365722656,0.367919922,0.002197266,-0.11315918,0.265869141,-0.056732178,-0.179443359,-0.374755859,-0.239257813,0.000411987,0.085693359,-0.575195313,0.173583984,-0.01361084
8,0.633789063,0.581542969,0.279785156,-0.122436523,-0.042419434,0.130737305,-0.380859375,-0.075805664,0.094360352,-0.090942383,0.007396698,0.322265625,-0.373291016,0.085754395,0.318359375,-0.141113281,0.259033203,-0.548828125,0.127197266,-0.024505615,-0.344726563,-0.500488281,0.029327393,-0.38671875,-0.062744141,-0.322265625,0.274414063,-0.332519531,-0.405273438,0.041656494,-0.055908203,-0.099182129,0.253173828,-0.034790039,0.075744629,-0.190429688,-0.045074463,-0.295410156,0.290527344,-0.150268555,0.046508789,-0.187255859,0.177978516,-0.177001953,-0.093505859,-0.232177734,0.164550781,-0.172729492,-0.024734497,-0.183105469,-0.360351563,-0.113098145,-0.293701172,-0.048278809,-0.211669922,-0.309814453,-0.137817383,0.13671875,-0.313476563,0.406738281,-0.127685547,-0.139892578,0.435546875,-0.144165039,-0.08026123,-0.365722656,0.173828125,0.167236328,-0.132324219,0.189575195,-0.453613281,0.375488281,0.295654297,-0.041290283,-0.369628906,-0.135498047,-0.342773438,-0.234985352,0.380615234,0.11920166,0.267333984,-0.455078125,-0.166259766,-0.02432251,-0.335449219,0.111328125,-0.138793945,-0.061676025,-0.172607422,0.233154297,-0.591796875,-0.158569336,0.099487305,-0.216796875,-0.376464844,-0.115112305,0.159912109,0.048400879,-0.027694702,0.151977539
9,-0.232421875,0.382324219,-0.018218994,-0.14453125,0.192749023,0.200195313,-0.119873047,-0.111022949,0.042724609,-0.383056641,-0.446289063,0.129394531,-0.157714844,-0.022689819,0.139160156,0.019760132,0.302246094,-0.532714844,0.194335938,0.131835938,0.36328125,0.291503906,0.017822266,0.067321777,-0.072143555,-0.140380859,-0.066345215,0.074707031,-0.146728516,-0.141601563,-0.126953125,0.380371094,0.442382813,-0.504882813,0.265136719,0.041992188,-0.349121094,0.354003906,0.058746338,0.296875,-0.007896423,0.284667969,-0.026321411,0.001617432,-0.68359375,0.682617188,-0.471191406,-0.124389648,0.173095703,0.042358398,-0.345214844,-0.229003906,0.058532715,0.66015625,0.505859375,0.150756836,-0.446289063,-0.145019531,0.432617188,0.138427734,-0.221557617,0.164306641,-0.208862305,-0.383300781,-0.188720703,-0.291992188,0.112182617,-0.017288208,-0.172607422,-0.250976563,-0.206665039,-0.036193848,-0.127929688,0.197021484,0.090270996,-0.160766602,0.238525391,-0.28125,0.04876709,-0.227539063,-0.340087891,-0.062988281,0.278320313,0.046630859,0.39453125,0.313476563,-0.192260742,-0.427246094,0.124572754,-0.304199219,0.401855469,0.002456665,-0.11126709,0.041931152,-0.161132813,-0.158691406,-0.283691406,0.308105469,-0.038818359,-0.116394043
